Test ID,Test Date,Tester Name,Type of Question,Build / Version,Sprint / Cycle,Channel Tested,Language Tested,Question ID,Query Text (Original),Question Category,Time Question Asked (HH:MM:SS),Time Answer Received (HH:MM:SS),Respo nse Time (mins) [Auto],SLA Status,Question in Review Model?,Question Correctly Framed?,Original Language,Translated Language,Translation Quality,Translation Error Type,Tagging,Allocated to Reviewer?,Author's Name,Author Assignment Time,Author Completion Time,Author TAT (mins) [Auto],Reviewer1 Name,Reviewer1 Assignment Time,Reviewer1 Completion Time,Review1 TAT (mins) [Auto],Reviewer2 Name,Reviewer2 Assignment Time,Reviewer2 Completion Time,Review2 TAT (mins) [Auto],Reviewer3 Name,Reviewer3 Assignment Time,Reviewer3 Completion Time,Review3 TAT (mins) [Auto],Reviewer4 Name,Reviewer4 Assignment Time,Reviewer4 Completion Time,Review4 TAT (mins) [Auto],Reviewer5 Name,Reviewer5 Assignment Time,Reviewer5 Completion Time,Review5 TAT (mins) [Auto],Moderator's Name,Moderator Assignment Time,ModeratorCompletion Time,Moderator TAT (mins) [Auto],Follow-up Q in Review Model?,Answer Scientifically Correct?,Expert Name Displayed?,Correct Expert Name?,Source Links Provided?,120-min Msg Shown to User?,Notification Received?,Notification on Same Thread?,Notification Linked Correct Q-ID?,Voice Input Working?,Voice Output Working?,Voice Input Quality,Voice Output Quality,Voice Issue Description,Weather Q Answered Correctly?,Mandi Price Q Correct?,Scheme Q Correct?,Question Saved in DB?,Answer Saved in DB?,Q-ID Consistent Across Systems?,WhatsApp vs Web Answer Match?,Overall Test Status,Defect Severity,"Defect ID / Bug Ref
Zoho Desk Ticketing",Reviewer Remarks,Tester Remarks,Status,,,
TL-2097,2026-06-23,K. Deni Sudha,GDB,0.1,NIL,Web App,English,1f16efff-8561-65d7-8040-2b87e55db107,Information about the control of Blight in mango crop in Uttar Pradesh,Plant protection,18:05:00,18:05:08,0.1,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Successfully Identified as Duplicate/Dynamic,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,NIL,NIL,Duplicate,Expected Output,,,
TL-2098,2026-06-23,K. Deni Sudha,GDB,0.1,NIL,Web App,English,1f16f009-b21e-686d-8005-4c7754b1f267,How can I manage shoot borer in my mango trees in Uttar Pradesh?,Insect–Pest Management,18:09:00,18:09:41,0.7,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Successfully Identified as Duplicate/Dynamic,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,NIL,NIL,Duplicate,Expected Output,,,
TL-2099,2026-06-23,K. Deni Sudha,GDB,0.1,NIL,Web App,English,1f16f012-7d2e-60e6-8005-37d5b850da54,Thrips in mango tree in Uttar Pradesh,Insect–Pest Management,18:13:00,18:13:37,0.6,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Successfully Identified as Duplicate/Dynamic,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,NIL,NIL,Duplicate,Expected Output,,,
TL-2100,2026-06-23,K. Deni Sudha,GDB,0.1,NIL,Web App,English,1f16f01e-7f8f-6acb-8005-e2333cdd5ae7,What are the best varieties of mango suitable for cultivation in Uttar Pradesh?,Seed and Variety Selection,18:19:00,18:19:00,0.0,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Successfully Identified as Duplicate/Dynamic,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,NIL,NIL,Duplicate,Expected Output,,,
TL-2101,2026-06-23,K. Deni Sudha,GDB,0.1,NIL,Web App,English,1f16f02b-a03c-600e-8005-a3d3e5c2cdad,My mango tree is not flowering. What could be the reason and how can I address it in Uttar Pradesh?,Cultural and Crop Management Practices,18:24:00,18:24:52,0.9,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Successfully Identified as Duplicate/Dynamic,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,NIL,NIL,Duplicate,Expected Output,,,
TL-2102,2026-06-23,K. Deni Sudha,GDB,0.1,NIL,Web App,English,1f16f03c-90da-6e09-8005-3ad2a5d27c5c,What are the common diseases affecting sugarcane in Uttar Pradesh and how can they be controlled?,Disease Management,18:32:00,18:32:27,0.4,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Successfully Identified as Duplicate/Dynamic,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,NIL,NIL,Duplicate,Expected Output,,,
TL-2103,2026-06-23,K. Deni Sudha,GDB,0.1,NIL,Web App,English,1f16f05d-06a1-68ba-8005-5687f857d1ce,Information about control of the root borer in Sugarcane in Uttar Pradesh,Plant protection,18:46:00,18:46:58,1.0,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Successfully Identified as Duplicate/Dynamic,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,NIL,NIL,Duplicate,Expected Output,,,
TL-2117,2026-06-23,CH. Sharmila,GDB,0.1,NIL,WhatsApp,English,1f16eebb-c3a1-6f93-8063-88057cf8c7ee,What is the recommended sowing time and what varieties should be used for groundnut cultivation during the Kharif season in Uttar Pradesh?,Plant protection,15:40:17,15:40:27,0.1,Within SLA,No,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,No,Lavail Joy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,NA,NA,NA,Yes,Yes,CLEAR,Clear,NO ISSUE,NA,NA,NA,SAVED,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,NA,NIL,NIL,Expected Output,,,
TL-2118,2026-06-23,CH. Sharmila,GDB,0.1,NIL,WhatsApp,English,1f16eebb-c3a1-6f93-8063-88057cf8c7ee,What causes yellowing in okra plants and how can it be managed in Uttar Pradesh?,Plant protection,15:40:28,15:40:40,0.1,Within SLA,No,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,No,Monica M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,NA,NA,NA,Yes,Yes,CLEAR,Clear,NO ISSUE,NA,NA,NA,SAVED,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,NA,NIL,NIL,Expected Output,,,
TL-2120,2026-06-23,CH. Sharmila,GDB,0.1,NIL,WhatsApp,English,1f16eebb-c3a1-6f93-8063-88057cf8c7ee,Can you provide comprehensive information about Okra (Bhindi) cultivation in Uttar Pradesh?,Cultural and Crop Management Practices,15:40:50,15:41:00,0.1,Within SLA,No,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,No,Soumya R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,NA,NA,NA,Yes,Yes,CLEAR,Clear,NO ISSUE,NA,NA,NA,SAVED,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,NA,NIL,NIL,Expected Output,,,
TL-2121,2026-06-23,Dhaarani S,Unique,0.1,NIL,WhatsApp,English,1f16eea9-017a-6544-8005-d07b478a2d2b,What are the most effective management strategies for controlling borers in citrus crops in Andhra Pradesh?,Insect–Pest Management,"6/23/2026, 3:31:54 PM","Jun 24, 2026, 12:04 PM",20 hours 32 mins 6 secs,SLA Breached,Yes,Well Framed,English,English,Correct,NA,NA,NA,Varsha Shekhar,"6/23/2026, 3:50:03 PM","6/23/2026, 4:43:13 PM",53m 9s,Suraiya Amin,"6/23/2026, 4:58:03 PM","6/23/2026, 5:07:01 PM",8m 57s,Lakshmi Ranganath C J,"6/23/2026, 5:09:04 PM","6/23/2026, 5:23:49 PM",14m 45s,Mohammad,"6/23/2026, 5:24:04 PM","6/23/2026, 5:28:45 PM",4m 41s,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Received on Time,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,NA,Pass,No Defect,,NIL,2 hours disclaimer is seen. Received the answer (24/06/2026).,Expected Output,,,
TL-2124,2026-06-23,Dhaarani S,Unique,0.1,NIL,WhatsApp,English,1f16eebe-1e32-696a-801a-bf60dee9baab,"What are the causes, symptoms, and management strategies for wilt disease in citrus crops in Andhra Pradesh?",Disease Management,"6/23/2026, 3:41:21 PM","Jun 23, 2026, 6:51 PM",3 hours 10 mins,SLA Breached,Yes,Well Framed,English,English,Correct,NA,NA,NA,Prerna Bharti,"6/23/2026, 4:13:03 PM","6/23/2026, 5:09:20 PM",,Bisen,"6/23/2026, 5:18:04 PM","6/23/2026, 5:41:04 PM",23 m,Sanjay Choudhary,"6/23/2026, 5:41:04 PM","6/23/2026, 6:11:03 PM",29m 59s,Atul,"6/23/2026, 6:11:03 PM","6/23/2026, 6:21:37 PM",10m 33s,NA,NA,NA,NA,NA,NA,NA,NA,Lavail Joy,"6/23/2026, 6:21:37 PM","6/23/2026, 6:51:44 PM",30 minutes 6 seconds 529 ms,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Received on Time,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,NA,Pass,No Defect,,NIL,2 hours disclaimer is seen. Received the correct answer but SLA breached,Expected Output,,,
TL-2125,2026-06-23,Dhaarani S,Unique,0.1,NIL,WhatsApp,English,1f16eec5-c24a-6314-8021-c7be99b76152,"What is the recommended procedure and dosage for applying foliar sprays of Nitrogen, Phosphorus, and Potassium (NPK) in citrus cultivation?",Soil Health and Nutrient Management,"6/23/2026, 3:44:46 PM","Jun 24, 2026, 12:59 PM",21 hours 14 mins 14 secs,SLA Breached,Yes,Well Framed,English,English,Correct,NA,NA,NA,Sippora Nandam,"6/23/2026, 4:22:03 PM","6/23/2026, 4:41:14 PM",19m 10s,B. Sasidhar,"6/23/2026, 6:01:04 PM","6/23/2026, 6:18:45 PM",17m 41s,Varsha Shekhar,"6/23/2026, 6:19:04 PM","6/23/2026, 6:35:10 PM",16m 6s,Mohammad,"6/23/2026, 6:36:03 PM","6/23/2026, 6:42:38 PM",6m 34s,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Received on Time,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,NA,Pass,No Defect,,NIL,2 hours disclaimer is seen. Received the answer (24/06/2026).,Pending,,,
TL-2126,2023-06-23,Dhaarani S,Unique,0.1,NIL,WhatsApp,English,1f16eed6-08b5-6047-8028-401ecf8b2cef,What are the causes and effective management strategies for Stem Dry Rot in citrus crops in Andhra Pradesh?,Disease Management,"6/23/2026, 3:52:03 PM","Jun 24, 2026, 1:50 PM",21 hours 57 minutes 57 seconds.,SLA Breached,Yes,Well Framed,English,English,Correct,NA,NA,NA,Suresh Bhardwaj,"6/23/2026, 4:30:04 PM","6/23/2026, 4:45:27 PM",15m 23s,Mohammad,"6/23/2026, 6:04:03 PM","6/23/2026, 6:10:35 PM",6m 31s,Lakshmi Aravind,"6/23/2026, 6:12:03 PM","6/23/2026, 6:22:32 PM",10m 28s,Soumya R,"6/23/2026, 6:24:04 PM","6/23/2026, 6:32:19 PM",8m 15s,NA,NA,NA,NA,NA,NA,NA,NA,Satarupa Saha,,,,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Received on Time,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,NA,Pass,No Defect,,NIL,2 hours disclaimer is seen. Received the answer (24/06/2026).,Pending,,,
TL-2128,2026-06-23,Dhaarani S,Unique,0.1,NIL,WhatsApp,English,1f16eee5-3214-66d4-8036-aa5ab80de102,"What are the essential micronutrients required for citrus cultivation, and how should they be applied to ensure optimal fruit quality and tree health in Andhra Pradesh?",Soil Health and Nutrient Management,"6/23/2026, 3:58:50 PM","Jun 23, 2026, 7:00 PM",3 hours 2 mins,SLA Breached,Yes,Well Framed,English,English,Correct,NA,NA,NA,Yash Praveen Khot,"6/23/2026, 4:44:03 PM","6/23/2026, 5:10:21 PM",26m 17s,Bisen,"6/23/2026, 6:09:03 PM","6/23/2026, 6:19:04 PM",,Neelima M B,"6/23/2026, 6:19:04 PM","6/23/2026, 6:30:03 PM",10m 59s,Suraiya Amin,"6/23/2026, 6:30:03 PM","6/23/2026, 6:36:45 PM",6m 41s,NA,NA,NA,NA,NA,NA,NA,NA,Lavail Joy,"6/23/2026, 6:36:45 PM","6/23/2026, 7:00:08 PM",23 minutes 22 seconds 955 ms,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Received on Time,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,NA,Pass,No Defect,,NIL,2 hours disclaimer is seen. Received the correct answer but SLA breached,Expected Output,,,
TL-2129,2026-06-23,Dhaarani S,Unique,0.1,NIL,WhatsApp,English,1f16eeea-14e6-6281-803d-66981a1e5cd7,What is the recommended fertilizer dosage and application schedule for three-year-old citrus plants in Andhra Pradesh?,Soil Health and Nutrient Management,"6/23/2026, 4:01:01 PM","Jun 23, 2026, 7:18 PM",3 hours 17 min,SLA Breached,Yes,Well Framed,English,English,Correct,NA,NA,NA,Anil Kumar S,"6/23/2026, 4:45:04 PM","6/23/2026, 4:55:12 PM",10m 7s,B. Sasidhar,"6/23/2026, 6:19:04 PM","6/23/2026, 6:30:03 PM",10m 59s,Lovely,"6/23/2026, 6:30:03 PM","6/23/2026, 6:59:03 PM",28m 59s,Mohammad,"6/23/2026, 6:59:03 PM","6/23/2026, 7:01:27 PM",2m 23s,NA,NA,NA,NA,NA,NA,NA,NA,Lavail Joy,"6/23/2026, 7:01:27 PM","6/23/2026, 7:18:54 PM",17 minutes 27 seconds 433 ms,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Received on Time,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,NA,Pass,No Defect,,NIL,2 hours disclaimer is seen. Received the correct answer but SLA breached,Pending,,,
TL-2130,2026-06-23,Dhaarani S,Unique,0.1,NIL,WhatsApp,English,1f16eeee-73e9-6c73-8044-5f3dd1dd401f,What are the essential plant protection and management practices for maintaining healthy citrus crops in Andhra Pradesh?,Plant protection,"6/23/2026, 4:02:58 PM","Jun 24, 2026, 2:22 PM", 22 hours 19 minutes 2 seconds.,SLA Breached,Yes,Well Framed,English,English,Correct,NA,NA,NA,Suresh Bhardwaj,"6/23/2026, 4:46:04 PM","6/23/2026, 5:30:54 PM",44m 49s,Anil Kumar S,"6/23/2026, 6:13:05 PM","6/23/2026, 6:18:57 PM",5m 52s,Mohammad,"6/23/2026, 6:23:03 PM","6/23/2026, 6:25:47 PM",2m 44s,Yash Praveen Khot,"6/23/2026, 6:28:05 PM","6/23/2026, 7:05:13 PM",37m 8s,NA,NA,NA,NA,NA,NA,NA,NA,Kavya Ponugoti,,,,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Received on Time,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,NA,Pass,No Defect,,NIL,2 hours disclaimer is seen. Received the answer (24/06/2026).,Pending,,,
TL-2131,2026-06-23,Dhaarani S,GDB,0.1,NIL,Web App,English,1f16ef16-fa89-636d-8005-786c745a4093,Why are the leaves of okra turning yellow in Uttar Pradesh?,Plant protection,"6/23/2026, 4:20:54 PM","6/23/2026, 4:21:06 PM",12 s,Within SLA,Yes,Well Framed,English,English,Correct,NA,Correctly Tagged as Duplicate,NA,Emayamathi G,NA,NA,NA,NA,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,Yes,Yes,CLEAR,Clear,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Received the correct answer but some points about pest symptoms can be included.,Expected Output,,,
TL-2132,2026-06-23,Dhaarani S,GDB,0.1,NIL,WhatsApp,English,1f16ef45-cc60-63e9-804b-d2b441df0fc7,Why are the leaves of okra turning yellow in Uttar Pradesh?,Plant protection,"6/23/2026, 4:41:51 PM","6/23/2026, 4:42:03 PM",12 s,Within SLA,Yes,Well Framed,English,English,Correct,NA,Correctly Tagged as Duplicate,NA,Shivendra Pratap Singh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Provided & Relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Received the same answer as in the web but it shows moderator's name instead of author's name.,Pending,,,
TL-2151,2026-06-23,Lavanya Mathialagan,GDB,0.1,NIL,Web App,English,1f16ef1e-4521-687d-8005-5164849a8ce3,How can I effectively control shoot borer in maize in Uttar Pradesh?,Insect–Pest Management,16:24:00,16:24:22,22sec,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,duplicate,duplicate,Successfully Identified as Duplicate,Yes,Pass,info,https://desk.zoho.in/agent/annamai/annam-ai/tickets/details/202216000002008001,NIL,Banned chemical is being mentioned in answer ,Anomaly Found in Output,,,
TL-2152,2026-06-23,Lavanya Mathialagan,GDB,0.1,NIL,WhatsApp,English,1f16ef25-2040-650b-8075-ddcf3dca547d,How can I effectively control shoot borer in maize in Uttar Pradesh?,Insect–Pest Management,16:27:00,16:27:26,26sec,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,duplicate,duplicate,Successfully Identified as Duplicate,Yes,Pass,info,https://desk.zoho.in/agent/annamai/annam-ai/tickets/details/202216000002008001,NIL,Banned chemical is being mentioned in answer ,Anomaly Found in Output,,,
TL-2153,2026-06-23,Lavanya Mathialagan,GDB,0.1,NIL,Web App,English,1f16ef5e-cab6-6266-8005-1ede0696b867,How can I identify and manage pink stem borer infestation in maize in Uttar Pradesh?,Insect–Pest Management,16:53:00,16:53:14,14sec,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,Yes,Yes,Clear,Clear,NA,NA,NA,NA,duplicate,duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Good to go,Expected Output,,,
TL-2154,2026-06-23,Lavanya Mathialagan,GDB,0.1,NIL,WhatsApp,English,1f16ef5f-2690-613e-807c-f7f0fe1823b0,How can I identify and manage pink stem borer infestation in maize in Uttar Pradesh?,Insect–Pest Management,16:53:00,16:53:23,23sec,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,duplicate,duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Good to go,Expected Output,,,
TL-2155,2026-06-23,Lavanya Mathialagan,GDB,0.1,NIL,Web App,English,1f16ef71-5e60-6b45-8005-d5c5b99bf481,How can I control leaf folder and stem borer in maize crop in Uttar Pradesh?,Insect–Pest Management,17:01:00,17:01:32,32sec,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,duplicate,duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Good to go,Expected Output,,,
TL-2156,2026-06-23,Lavanya Mathialagan,GDB,0.1,NIL,WhatsApp,English,1f16ef71-94f6-61ca-8083-fc65bc96b18b,How can I control leaf folder and stem borer in maize crop in Uttar Pradesh?,Insect–Pest Management,17:01:00,17:01:38,38sec,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,duplicate,duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Good to go,Expected Output,,,
TL-2157,2026-06-23,Lavanya Mathialagan,GDB,0.1,NIL,Web App,English,1f16ef7b-d90e-697d-8005-8c7764ebbfea,How can I identify and manage Brown Stripe Downy Mildew in maize in Uttar Pradesh?,Disease Management,17:06:00,17:06:14,14sec,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,Yes,Yes,Clear,Clear,NA,NA,NA,NA,duplicate,duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Good to go,Expected Output,,,
TL-2158,2026-06-23,Lavanya Mathialagan,GDB,0.1,NIL,WhatsApp,English,1f16ef7c-173f-6c8b-808a-844eee5f72e9,How can I identify and manage Brown Stripe Downy Mildew in maize in Uttar Pradesh?,Disease Management,17:06:00,17:06:20,20sec,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,duplicate,duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Good to go,Expected Output,,,
TL-2159,2026-06-23,Lavanya Mathialagan,GDB,0.1,NIL,Web App,English,1f16ef94-1242-6c04-8005-8f841f8efea0,How to control grass weeds in maize crop in Uttar Pradesh?,Weed Management,17:17:00,17:17:04,4sec,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,Yes,Yes,Clear,Clear,NA,NA,NA,NA,duplicate,duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Good to go,Expected Output,,,
TL-2160,2026-06-23,Lavanya Mathialagan,GDB,0.1,NIL,WhatsApp,English,1f16ef94-5981-6e82-8091-4f8baa91819d,How to control grass weeds in maize crop in Uttar Pradesh?,Weed Management,17:17:00,17:17:11,11sec,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,duplicate,duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Good to go,Expected Output,,,
